Event_Name,Event_Type,Date,Course (Optional),Description
Lecture - Cumque,Workshop,2023-11-28,Computer Science,
Assignment Submission - Ad,Workshop,2024-01-22,Civil Engineering,
Practical Exam - Occaecati,Practical Exam,2024-02-12,Computer Science,
Quiz - Praesentium,Quiz,2024-03-18,Electrical Engineering,
Workshop - Maxime,Lecture,2024-01-28,Biotechnology,
Workshop - Ratione,Seminar,2024-01-22,Computer Science,
Assignment Submission - Iure,Seminar,2023-11-15,Biotechnology,
Seminar - Debitis,Lecture,2024-03-10,Civil Engineering,
Assignment Submission - Voluptas,Seminar,2024-01-20,Biotechnology,
Assignment Submission - Molestias,Assignment Submission,2024-02-14,Electrical Engineering,
Workshop - Animi,Lecture,2024-02-16,Computer Science,
Quiz - Expedita,Lecture,2023-12-18,Electrical Engineering,
Lecture - Occaecati,Workshop,2023-11-09,Electrical Engineering,
Quiz - Soluta,Quiz,2024-02-11,Computer Science,
Workshop - Fugit,Workshop,2024-01-29,Biotechnology,
Quiz - Ad,Assignment Submission,2024-02-03,Mechanical Engineering,
Workshop - Dignissimos,Quiz,2024-01-19,Electrical Engineering,
Seminar - Voluptate,Practical Exam,2023-10-02,Biotechnology,
Workshop - Magnam,Practical Exam,2024-01-14,Biotechnology,
Lecture - Sunt,Lecture,2023-12-03,Computer Science,
Assignment Submission - Libero,Assignment Submission,2024-03-14,Mechanical Engineering,
Lecture - Commodi,Practical Exam,2023-12-07,
Lecture - Mollitia,Assignment Submission,2023-12-01,Biotechnology,
Seminar - Voluptatem,Assignment Submission,2024-03-24,Electrical Engineering,
Workshop - Sequi,Assignment Submission,2024-02-14,Electrical Engineering,
Lecture - Modi,Practical Exam,2023-10-18,Computer Science,
Practical Exam - Optio,Workshop,2023-10-29,Civil Engineering,
Lecture - Rem,Seminar,2024-01-24,Electrical Engineering,
Assignment Submission - Soluta,Seminar,2024-02-03,Computer Science,
Workshop - Reprehenderit,Quiz,2023-11-08,
Mid-Term Exams,2024-03-15,Mid-term examinations for all departments
Spring Break,2024-03-25,One week spring break
Project Submissions,2024-04-10,Final project submissions due
Final Exams,2024-05-01,End of semester examinations
Summer Break,2024-05-15,Start of summer vacation
